delta_0,gamma_0,eps_0,r_0,x0_infect_0,beta0_0,beta1_0,beta2_0,beta3_0,beta4_0,beta5_0,beta6_0
0.36117617752251935,0.3245245249786969,0.17525513314968105,0.755618399102177,0.00021558957441099506,0.6073059311717484,0.7137806518747796,0.31988783263561504,0.9024936344411137,0.07455486823766559,0.6441012281401061,0.42852775278679467
0.15529222945760607,0.8022609851311677,0.16064478764064644,0.7404957523328338,0.0001114906517701781,0.4035107376410862,0.04377323686645625,0.9886326668786478,0.1849861662207242,0.2961677919058047,0.07632552620330506,0.3127202601386041
0.4395250191086607,0.13341093584114957,0.4187125085126846,0.21223349710412742,0.0002588170844272402,0.5239271304037437,0.09554820226800588,0.6870532823610448,0.47896139786658715,0.8520698923182498,0.7381397820258246,0.33512674464141756
0.296569397850784,0.15650894204495308,0.2874543234793581,0.15137791907440054,2.55908877096219e-05,0.0530044041861642,0.8776463955215545,0.6615538015766491,0.8919258779606747,0.3762799925342069,0.005978312100802791,0.10475019117503637
0.3369946085165634,0.6421557157183765,0.20415259691884294,0.25848963958801546,0.00028100245714287415,0.8499805781683015,0.2120128203535201,0.8572840604629476,0.24343164417513272,0.4021919129712332,0.17844529880712884,0.8903973105022845
0.15775126702076175,0.11750269994095719,0.7698470457166885,0.13074936943950208,2.766987644198497e-05,0.1780037232718304,0.6327624938964526,0.8264985428434466,0.022378251700570374,0.60281095313107,0.5446356260449492,0.3505823757297587
0.2953501906219385,0.6494504417085405,0.5122461967636792,0.20686407485896122,0.00022474836726227903,0.32107049140924504,0.15490891589523087,0.20789988480553337,0.990694641320438,0.1258652822650019,0.05177690249276907,0.9901246588281686
0.10121939067049081,0.028120762696741103,0.26796381212469883,0.6241641911022495,6.924871915728544e-05,0.29775110351643824,0.04566676046435809,0.984061695672187,0.3509409351478847,0.37575662161299134,0.23651653435663697,0.5576646957439567
0.2170560220822536,0.4841837263201689,0.7419298978844011,0.11931492218000382,0.00011928394052812259,0.18680945897361037,0.9855952968914897,0.007437994030241361,0.6120685248157841,0.9832470680449303,0.4616246172226781,0.5452443181686712
0.00975081158984591,0.20410511318964844,0.39242787864668466,0.4546444836313024,0.00010103555747581262,0.12951434291903882,0.5604090925310782,0.5866788247886147,0.9860676438633649,0.7848808639310418,0.9485914247122922,0.5811458223417257
0.7843098898522624,0.15316950662781142,0.5970183616482575,0.0341373547093717,9.893635907996357e-05,0.9583358269431345,0.4299318329358135,0.9670050864623085,0.29590805869105746,0.5613663445274466,0.6419704859131561,0.9186028566881487
0.2540246966753253,0.19116066459597905,0.6518209443132558,0.05749588282365942,3.467133829820574e-05,0.8784949957119536,0.30237507659163915,0.6236429829606408,0.2542719649254687,0.882446769986167,0.19958125866490764,0.8785815011012186
0.26351288091873076,0.26341900106511235,0.3578254956161512,0.3397624038888276,0.00015065513354296206,0.9405055804954681,0.47898629989848457,0.7946661300050334,0.36138260078822965,0.2099341479868274,0.9129139524032414,0.7885905693523757
0.26537561976165863,0.02008106175136779,0.22422779664792636,0.3712250955013911,7.825554243211828e-05,0.8864307755855274,0.061803888230345265,0.7219102936457537,0.6395331671926782,0.6036180659131692,0.6303146780483151,0.923443760787496
0.07457048062001574,0.8508821203757206,0.3888539182992871,0.31966060337005664,0.0002408961118341954,0.37652012461060896,0.26036790049817754,0.36269861247905283,0.4527761940264422,0.3080362650968391,0.031021657788079273,0.6520959128122731
0.5207637178662757,0.0581936879200981,0.3138887339851334,0.44576592293897543,0.00011285603295361365,0.09467285840822005,0.6695709909954676,0.9529767790213945,0.7408970954493966,0.4581534392924661,0.31862813261283107,0.8651010384186314
0.20860697754625457,0.5499669470513835,0.11049953493412445,0.8038445782312846,0.0001242686945178593,0.6781826812837891,0.4440945686474306,0.32140005088639145,0.5924080143906032,0.11369530911579151,0.6967213912874847,0.5298467036068903
0.4130564679965297,0.26418928819479554,0.8327401599150396,0.029512047671785696,0.0002802038577764403,0.04864556468413734,0.4266712384261102,0.6432603078216247,0.07150690544192266,0.3965296292727279,0.6153366812218214,0.7131727515974232
0.6369989508983993,0.3353014061583651,0.1898074657046466,0.4080306158624622,0.0002637212252826417,0.3686623568207465,0.990359385593787,0.9739179180397401,0.963664350259868,0.03701804456972343,0.2132393256814159,0.011704663547744675
0.006935445315832228,0.23358591062375444,0.02292960686194476,0.6053528617059729,0.00021073376072937622,0.45613439072727435,0.03588186384029909,0.9203759649490179,0.49228159755271944,0.9466851320965551,0.8313202063743186,0.2972721620316851
0.28102550403461274,0.297651175079882,0.3049731201373001,0.6587905651355058,0.00022106485960014734,0.8297891408693311,0.06695858745571807,0.7097139737736594,0.9618102106103426,0.35617450996795463,0.18338605097921992,0.8069075899612393
0.6938807881925788,0.21345467344141666,0.7740532402246328,0.14925291298504337,0.00016073577293152004,0.3923103722318508,0.09139659837751292,0.39088723448949364,0.9244448931450406,0.9537388328123373,0.47224815993030894,0.6339575086454635
0.10133044005345683,0.5476737547651118,0.3310454315897423,0.4182197027579567,1.5275275397491636e-07,0.3503419387931167,0.2289123016250938,0.42777239337583683,0.012716284603155758,0.6986929433126571,0.3673866365726783,0.7394911560583975
0.38601032718313305,0.5941736841642796,0.18474950530522263,0.6222621302837029,2.6122217862597508e-05,0.5666818663625909,0.6036021935314718,0.9283483764338579,0.06295921878078874,0.8249476335071286,0.3446064784322007,0.626113237279941
0.5186877556482027,0.13077009706625495,0.4778043477174522,0.4386058708529973,0.000134870033234638,0.5627144616851649,0.7558142869817863,0.4868264082501706,0.10638948830948192,0.02392772922398032,0.18945918785802943,0.5544144859065194
0.7941677143733381,0.1542185313074625,0.6628149262412133,0.16037754441884894,9.076531014656135e-05,0.4045361254004956,0.93383886643319,0.7969188226154703,0.2444395415846062,0.6245943931264089,0.2635481702443028,0.5571399341993564
0.09013220833364224,0.031913346975283106,0.7188473974103642,0.24165776258657265,0.00016546509100220453,0.8771285649457977,0.7746719894544597,0.8733588033703943,0.7270621618354226,0.21566123539064752,0.2769522513623452,0.4965364378406137
0.07311535997558898,0.6624255579131327,0.5279873405306533,0.01644899315610469,0.00010330409370436801,0.11931961786200183,0.5235085328314071,0.20235368283513824,0.2083406993344159,0.2757978321857259,0.7826985943936386,0.7945986148839322
0.19382300372859032,0.4534617382319164,0.5617910999110818,0.0011258517788788056,0.00025325812079258743,0.748059340927914,0.870860984427162,0.2689830539732733,0.2509857131812488,0.13398945352770594,0.8275765478652258,0.9508040414299715
0.43570390581534313,0.544019484863022,0.14516778188699017,0.18011052908619302,0.00018683665511162558,0.7203488789304147,0.6471573806266284,0.5015238935373658,0.3700327830367119,0.5468683045332983,0.316887769719018,0.7789342338526152
0.7401456039640386,0.013792422316107875,0.5412179989399543,0.33298934230028565,0.0002105425599206485,0.9059773356700875,0.3544967009566984,0.3427433968909175,0.43545328029606156,0.3145701556548379,0.3764201163665389,0.1286021896561341
0.025178881645696014,0.08250430727655247,0.24135089711130706,0.21423783662022133,0.00016430628570822763,0.5015709058047436,0.2701527075092334,0.5872680069194092,0.11879340625670252,0.005085323406457505,0.9908885794334298,0.5921665763340019
0.08178389548439183,0.4097160736452004,0.027395339013156578,0.7685056656320604,2.2946350432946486e-05,0.6655391365814788,0.7804680321303069,0.7609202302126323,0.09525997284571609,0.2066292578693301,0.0028675509336671934,0.853119284781396
0.29939812426303586,0.5535235503128697,0.5235349800383517,0.16956888023831146,1.8987680456554594e-05,0.8687342000210038,0.9372076297358513,0.6075367496871926,0.6493999551760018,0.9159612775647638,0.5826333129499845,0.7073702599348668
0.14217250651263622,0.7349872537087896,0.505511262931914,0.28810063470894315,0.00019658911233439618,0.428083352947378,0.5823721390490805,0.6820020702657894,0.983436107619892,0.9461305419470146,0.6859659641262174,0.7413202670236078
0.3217706278954128,0.18287405337884757,0.33618176683694634,0.6243801138572153,0.00017013376437103036,0.4771663719629548,0.21624192524766694,0.8158277566028168,0.75687102715639,0.8018115790732062,0.4858314810045176,0.5200768667785837
0.8265065462363279,0.04904123540286782,0.14025234558482533,0.6643635742256067,0.00012148299709713344,0.7878133671064921,0.7466926803324866,0.5592174058450216,0.7423619262651819,0.08797388017980415,0.4610268995433112,0.0763651096419418
0.203180940047227,0.01693735798877703,0.35176601424022214,0.2396746181977902,0.00020156061641397172,0.7871539634313113,0.26448288726567487,0.3913540096303691,0.5229984112659707,0.042150060997206376,0.6887065685371254,0.44130013962194026
0.024062789015838113,0.8000148523947104,0.1283252299097742,0.2793204349710215,0.0002099392435573104,0.32872409814078096,0.17712310062390874,0.7430499123983643,0.2992939102659355,0.9409689530343927,0.8923513656507769,0.43614017206956934
0.5799045665593857,0.3303744187277119,0.13109459210104454,0.03463713679836974,8.773184446947267e-05,0.47312576528362077,0.29848699978740884,0.8588689791592735,0.818476070132061,0.33954332756181793,0.2902592156529235,0.4306489861579328
0.16331348354211234,0.36678987303076843,0.08767997051763213,0.5042580327827022,3.377072293388959e-05,0.3914651505010966,0.9402069541372742,0.6554452058476175,0.21018705122598347,0.04324073153573067,0.6941455348355646,0.6095832022936641
0.22585186187317396,0.3473940094930741,0.0486200082238128,0.7905078688986314,0.0001512068772822931,0.8227627990356499,0.9432199945003608,0.04086918909610167,0.04675582440044663,0.806236459276802,0.4859743632729739,0.2622391626625064
0.13722814925264068,0.4235479600574117,0.2084746805178539,0.6972286561682741,0.00021800676122992808,0.4468647183874146,0.6532902917881447,0.17327987072068957,0.35830708218944807,0.1871658286453555,0.7436614623914297,0.6768451916827445
0.01484559135458084,0.022646043028614036,0.07443777951884827,0.1892647591073641,0.00018012598103226115,0.3963520483780056,0.8824221728242336,0.14084117277196892,0.6172455436663289,0.6908293097953498,0.041364408674346057,0.5920242287889123
0.1215009011690421,0.05220848863523214,0.6854878023468526,0.06968382185881743,4.199822080114766e-05,0.7379986214686625,0.6568987226434619,0.4984359157874176,0.7033923013240929,0.5344577121548447,0.5767680799784635,0.5623090119455187
0.8825663230857207,0.0008527001859867099,0.12591274113959158,0.31437983854362883,0.00013606438539392663,0.789269966068881,0.6835111724541157,0.3235098585538517,0.23459632159990795,0.3721119986600136,0.14168948891000907,0.3970645332881287
0.09271704668829796,0.4291502016291133,0.7688859709444058,0.19489793098528277,0.0002535469594847275,0.9599071970227381,0.0488553793270134,0.46132863658726797,0.4019351094373204,0.656067812398632,0.06727623793583752,0.12237830295006323
0.061916983927378814,0.9310412334497483,0.702758570139567,0.26658341109869393,5.2045591723553166e-05,0.06527257771740129,0.6681861159458389,0.1735076492983409,0.32285841857891595,0.22859891571364133,0.1670761818389382,0.0831229744744936
0.6358608700683308,0.24289253976636224,0.6329889627078544,0.20304314031127182,0.00014494239682940078,0.6742489921641691,0.4631278681704749,0.7330754154876964,0.03677962680559129,0.2245501034980788,0.8302084917079798,0.11132913629875252
0.1909607772316271,0.12415442909542605,0.4296646279539881,0.3772043687842122,7.470848723161262e-05,0.6765507505491395,0.228889934180039,0.9869334513509405,0.5255044264187558,0.7312028984976701,0.3372081556020857,0.5331687042148598
0.6922639744866004,0.1346422433125097,0.2332526219202754,0.6356647821369505,0.00013124765047744147,0.1242856435207179,0.3501458913646994,0.31659064358579314,0.22819739147451312,0.9276276060891334,0.39861940496471343,0.7715223664624365
0.1429507820807173,0.26533547860092416,0.28892850316565083,0.5396429815931895,0.0001355757066658927,0.8293967868456769,0.858636782594302,0.08720517672830655,0.9183143450449495,0.5208259874684664,0.12324053528429744,0.27332243757903313
0.3611958027467957,0.27431299976124895,0.7567300875324863,0.04951075179147708,0.00026250712081414286,0.005224237702480146,0.47119754429963934,0.34501518371676343,0.6737806721697855,0.4343008003837726,0.5074311367545495,0.5309862416680976
0.540495975106547,0.43344167225516816,0.12321308357480408,0.0839850451353095,4.6808731747537465e-05,0.1463508898975637,0.721056757694064,0.7435692895582894,0.15309490672831866,0.6683561727383797,0.7157867219289608,0.33217211009890546
0.40264522851926227,0.17884155979331978,0.06589404075876364,0.5027405123690747,9.59615160351622e-05,0.15900977463379834,0.6838843175508501,0.8604476697325243,0.5769097983295384,0.8547748118821729,0.10196977122198038,0.3495159646022832
0.7527013713995311,0.13200701783399468,0.5294241528875792,0.20001066348118726,0.0002704264357682678,0.12231873884319443,0.31915657590880286,0.5822045752570667,0.002249050845417598,0.20728891562385102,0.8138037165712999,0.5554378729024159
0.24316656855029314,0.615665293023048,0.3128081674191676,0.04163360419807234,5.091560967937967e-05,0.4403255999665433,0.7944496271149105,0.7296902557192279,0.6565845899538921,0.07338035274095715,0.037840196364082056,0.8490885628944495
0.6453432885067332,0.06889320369762257,0.18216513516683278,0.5622611831411056,0.00028067857355757825,0.37665213559513827,0.34771270256795583,0.45388281318414314,0.9504656645092551,0.4449721136563962,0.22850511800610918,0.2855449417897184
0.10429963054123736,0.525829728406406,0.2167207169002744,0.39732657153321776,8.683675906690282e-05,0.486364627273774,0.9993686928104637,0.7639709138679751,0.5864767274460799,0.18606430123056142,0.6056271116599233,0.25397070540525685
0.011321917447939077,0.5635349089372376,0.8500538155145317,0.007511704763953346,5.0972271538839854e-05,0.36781956678007083,0.678983985940037,0.8685574860703177,0.4109488231308375,0.2084872392358168,0.9174131943239464,0.9356952070731134
0.5317295358727496,0.22991776185505997,0.2794919746700237,0.6424878655082168,0.00010718480337696049,0.08563776381468272,0.811204716215444,0.6260688652912525,0.26264239962256336,0.036701729821995786,0.5388841418146895,0.941933000653324
0.11234609258499051,0.8042101820069272,0.5506260962933801,0.015292864742814978,0.00011564620830983926,0.7749103408970041,0.5363010104176374,0.3075302121274126,0.38035764513219855,0.07687305637724698,0.29153169839601073,0.1698394375492635
0.6126518137390148,0.2880983744750844,0.5544476782318545,0.19999774756852265,7.025976575963755e-05,0.47257540225089884,0.3597659835600171,0.38729087998814676,0.2416826931146314,0.7876180663467337,0.6074007311813155,0.8821914283063514
0.47668902943590635,0.42769423641327264,0.36030057204311117,0.447839380177262,0.00013420148797786374,0.8070074500093805,0.8095424247483781,0.9207918156568735,0.37884556053137747,0.12416691000755352,0.8756521775804975,0.9176888459309372
0.618783655504551,0.05408820738407644,0.38511958900761895,0.26425480065875556,4.338203593968464e-05,0.10631563079612205,0.2439142364460882,0.6087573278464332,0.528567208233378,0.16084305698224116,0.9240628500008917,0.5101123091867797
0.4072857924625684,0.42690767301493315,0.09347643951285613,0.6321199445539888,0.00016615274558909348,0.03968207672974662,0.29317116421238104,0.5138856483643006,0.5607932155237695,0.28874220145868484,0.8612969484581339,0.19490126782223585
0.1372686077566749,0.7904062433099978,0.7322059452083127,0.1663819924768773,0.0001996442703044041,0.5738968576586615,0.5685889107315487,0.38741283461432424,0.9321119941832744,0.2849522984107499,0.3033394581845698,0.44925261544059647
0.49906243354455676,0.00239428693863075,0.34155478652528737,0.2548972351949664,0.0002449604489838054,0.007779235843373693,0.13819522717194574,0.82641796786132,0.46147017864257456,0.4365458058116036,0.048653474714469076,0.18958085046207265
0.4402023849199078,0.26681566359715486,0.14641589884637116,0.09994735108920118,4.043584221033513e-06,0.3512483888959784,0.1949949111154257,0.9019732145424901,0.12225149509580178,0.31387823680889904,0.6429848556418764,0.8514006435971971
0.46594781830764864,0.050254773010996186,0.05890510907409002,0.4997388147495035,0.00013651371407408212,0.22305866672371588,0.2422250266871334,0.812774981253632,0.10411871439486044,0.4103397460108143,0.1794477868845758,0.4081269349725491
0.542340731033085,0.37025190762268173,0.1036265244880258,0.0038989049480826457,0.0002701389504072862,0.38499615523302627,0.08705872973805032,0.5846359075228017,0.6360262004712458,0.07295899363141016,0.5247384320981474,0.16267999109811443
0.07031695994898839,0.7492278418512436,0.7327349797110202,0.2427171659862358,6.450850059842616e-05,0.29764356773622275,0.9936886542254134,0.820612783392306,0.08403223606375823,0.8166155058041394,0.3202081372029374,0.7740181645976482
0.33552566328898803,0.1465457751649699,0.6714920038607631,0.046971127788099594,1.4238448750313391e-05,0.4348496969452267,0.34079771160355576,0.3524112511185752,0.8255965886688265,0.759827070822542,0.236524287327302,0.6070188526437297
